Date,Article Class,Article Titles,List of Article Author Names
2019-Jan,Meeting Highlights,"Highlights of the Annual Scientific Meeting of the Society of Skeletal Radiology (SSR) 2018, Austin, Texas, USA",Michael G. FoxLaura W. Bancroft
2019-Jan,Review Article,Imaging bicipitoradial bursitis: a pictorial essay,Sheau Huey YapJames Francis GriffithRyan Ka Lok Lee
2019-Jan,Review Article,Sonographic and radiographic findings of posterior tibial tendon dysfunction: a practical step forward,Steven B. SolimanPaul J. SpicerMarnix T. van Holsbeeck
2019-Jan,Review Article,Fragility fractures of the proximal femur: review and update for radiologists,Kimia Khalatbari KaniJack A. PorrinoFelix S. Chew
2019-Jan,Review Article,Graft use in the treatment of large and massive rotator cuff tears: an overview of techniques and modes of failure with MRI correlation,Kyle R. DuchmanDayne T. MickelsonGrant E. Garrigues
2019-Jan,Review Article,"Sonographic evaluation of uncommonly assessed upper extremity peripheral nerves: anatomy, technique, and clinical syndromes",Jonathan M. YoungnerKulia MatsuoImran M. Omar
2019-Jan,Correction,"Correction to: Sonographic evaluation of uncommonly assessed upper extremity peripheral nerves: anatomy, technique, and clinical syndromes",Jonathan M. YoungnerKulia MatsuoImran M. Omar
2019-Jan,Review Article,Injuries of the adolescent girl athlete: a review of imaging findings,Kimberly ShampainKara Gaetke-UdagerCorrie M. Yablon
2019-Jan,Scientific Article,"Baseline knee joint effusion and medial femoral bone marrow edema, in addition to MRI-based T2 relaxation time and texture measurements of knee cartilage, can help predict incident total knee arthroplasty 4–7 years later: data from the Osteoarthritis Initiative",Ursula HeilmeierJohn Mbapte WambaThomas M. Link
2019-Jan,Scientific Article,Diagnostic accuracy of an abbreviated MRI protocol for detecting radiographically occult hip and pelvis fractures in the elderly,Andrew B. RossBrian Y. ChanKenneth S. Lee
2019-Jan,Scientific Article,Patterns of tendon retraction in full-thickness rotator cuff tear: comparison of delaminated and nondelaminated tendons,Guillaume BierryWilliam E. Palmer
2019-Jan,Scientific Article,Imaging features of phosphaturic mesenchymal tumors,Stephen M. BroskiAndrew L. FolpeDoris E. Wenger
2019-Jan,Scientific Article,Sonoelastographic evaluation of the sciatic nerve in patients with unilateral lumbar disc herniation,Umut Orkun ÇelebiVeysel BuruldayMehmet Hüseyin Akgül
2019-Jan,Scientific Article,Interobserver variability and stiffness measurements of normal common extensor tendon in healthy volunteers using shear wave elastography,Halit Nahit ŞendurEmetullah CindilSuna Özhan Oktar
2019-Jan,Scientific Article,Second opinions in orthopedic oncology imaging: can fellowship training reduce clinically significant discrepancies?,Aleksandr RozenbergBarry E. KenneallyAdam C. Zoga
2019-Jan,Test Yourself: Question,Test Yourself Question: Enlarging right thigh mass,Ban SharifAsif Saifuddin
2019-Jan,Case Report,Mutational analysis of high-grade spindle cell sarcoma of the femur in Mazabraud’s syndrome,Michele CallejaFernanda AmaryPaul O’Donnell
2019-Jan,Case Report,Case report: Broad insertion of a large subscapularis tendon in association with congenital absence of the long head of the biceps tendon,Jad M. El AbiadDaniel G. FaddoulHasan Baydoun
2019-Jan,Case Report,Ganglion cyst arising from the transverse acetabular ligament (TAL): a rare cause of entrapment of the anterior branch of the obturator nerve. Case report and review of the literature,Alessandro VidoniSatyanarayana T. V. SankaraRajesh Botchu
2019-Jan,Case Report,Post-traumatic cyst-like lesion of cortical bone in children,Gonçalo FreireRita CruzP. Diana Afonso
2019-Jan,Test Yourself: Answer,Enlarging right thigh mass,Ban SharifAsif Saifuddin
2019-Jan,Browser's Notes,Browser's notes,
