Date,Article Class,Article Titles,List of Article Author Names
2018-Feb,Letter to the editor,Mesoaxial synostotic syndactyly with phalangeal reduction (MSSD): syndactyly type IX,Sajid Malik
2018-Feb,Meeting Highlights,"Highlights of the 44th Annual Scientific Congress of the International Skeletal Society (ISS) 2017, New York, New York",Miriam A. Bredella
2018-Feb,Meeting Review,Society of Skeletal Radiology 2017 annual meeting summary,Michael G. FoxLaura W. Bancroft
2018-Feb,Review Article,"Scapulothoracic pathology: review of anatomy, pathophysiology, imaging findings, and an approach to management",Walter OsiasGeorge R. Matcuk Jr.Eric A. White
2018-Feb,Scientific Article,Hyperextension injuries of the knee: do patterns of bone bruising predict soft tissue injury?,A. M. AliJ. K. PillaiB. J. Roberton
2018-Feb,Scientific Article,MRI findings associated with microscopic residual tumor following unplanned excision of soft tissue sarcomas in the extremities,Lee WangJuan Pretell-MazziniTy K. Subhawong
2018-Feb,Scientific Article,Voriconazole-induced periostitis deformans: serial imaging in a patient with ANCA vasculitis,S. CormicanN. AdamsD. de Freitas
2018-Feb,Scientific Article,Reduction of artifacts caused by orthopedic hardware in the spine in spectral detector CT examinations using virtual monoenergetic image reconstructions and metal-artifact-reduction algorithms,Nils Große HokampV. NeuhausJ. Borggrefe
2018-Feb,Scientific Article,Effect of patient age on accuracy of primary MRI signs of long head of biceps tearing and instability in the shoulder: an MRI-arthroscopy correlation study,Camilo G. BorreroJoanna CostelloDharmesh Vyas
2018-Feb,Scientific Article,Safety of omitting routine bleeding tests prior to image-guided musculoskeletal core needle biopsy,Yuri ShifJustin W. KungJim S. Wu
2018-Feb,Scientific Article,Dose reduction for fluoroscopically guided injections: phantom simulation and patient procedures,C. Y. ChangF. J. SimeoneA. J. Huang
2018-Feb,Scientific Article,Detection of femoroplasty on pre- and post-arthroscopic comparison radiographs following treatment of femoroacetabular impingement syndrome: multi-reader accuracy and agreement study,Steffen J. HaiderAlan H. SiegelYvonne Y. Cheung
2018-Feb,Scientific Article,T2 signal intensity as an imaging biomarker for patients with superficial Fibromatoses of the hands (Dupuytren’s disease) and feet (Ledderhose disease) undergoing definitive electron beam irradiation,James S. BanksAaron H. WolfsonTy K. Subhawong
2018-Feb,Scientific Article,Clinical efficacy of transforaminal epidural injection for management of zoster-associated pain: a retrospective analysis,Eung Don KimHa Hyeon BakHue Jung Park
2018-Feb,Scientific Article,Assessment of the zonal variation of perfusion parameters in the femoral head: a 3-T dynamic contrast-enhanced MRI pilot study,Jean-François BudzikGuillaume LefebvreAnne Cotten
2018-Feb,Scientific Article,Tarsometatarsal joint communication during fluoroscopy-guided therapeutic joint injections and relationship with patient age and degree of osteoarthritis,Yoshimi EndoO. Kenechi NwawkaJayme C. Burket
2018-Feb,Scientific Article,Frequency of inflammatory-like MR imaging findings in asymptomatic fingers of healthy volunteers,Christoph A. AgtenAndrea B. RosskopfFlorian M. Buck
2018-Feb,Test Yourself: Question,Progressive loss of supination of the wrist,Amandine CrombéYacine CarlierLionel Pesquer
2018-Feb,Case Report,Giant angioleiomyoma of the sacral foramina: an unusual location,Sang Min LeeDoo Hoe HaHye Jin Lee
2018-Feb,Test Yourself: Answer,Progressive loss of supination of the wrist,Amandine CrombéYacine CarlierLionel Pesquer
2018-Feb,Browser's Notes,Browser’s notes,
