Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2022-Jan,Editorial,Skeletal radiology special publications,Mark J. Kransdorf,Mark J. Kransdorf,Mark J. Kransdorf
2022-Jan,Editorial,Introduction to the special section on multiple myeloma,"Connie Y. Chang,William E. Palmer",Connie Y. Chang,William E. Palmer
2022-Jan,Perspective,Floccinaucinihilipilification: is there a continuing role for the radiographic skeletal survey?,Daniel I. Rosenthal,Daniel I. Rosenthal,Daniel I. Rosenthal
2022-Jan,Review Article,Myeloma Response Assessment and Diagnosis System (MY-RADS): strategies for practice implementation,Michael E. Mulligan,Michael E. Mulligan,Michael E. Mulligan
2022-Jan,Review Article,"Plasma cell myeloma: role of histopathology, immunophenotyping, and genetic testing","Megan J. Fitzpatrick,Valentina Nardi,Aliyah R. Sohani",Megan J. Fitzpatrick,Aliyah R. Sohani
2022-Jan,Review Article,Role of FDG PET in the staging of multiple myeloma,"Joao R. T. Vicentini,Miriam A. Bredella",Joao R. T. Vicentini,Miriam A. Bredella
2022-Jan,Review Article,Whole-body magnetic resonance imaging (WBMRI) versus whole-body computed tomography (WBCT) for myeloma imaging and staging,"Karla M. Treitl,Jens Ricke,Andrea Baur-Melnyk",Karla M. Treitl,Andrea Baur-Melnyk
2022-Jan,Review Article,Imaging of treatment response and minimal residual disease in multiple myeloma: state of the art WB-MRI and PET/CT,"Frederic E. Lecouvet,Marie-Christiane Vekemans,Bruno C. Vande Berg",Frederic E. Lecouvet,Bruno C. Vande Berg
2022-Jan,Review Article,Bone marrow aspiration and biopsy: techniques and practice implications,"Anderanik Tomasian,Jack W. Jennings",Anderanik Tomasian,Jack W. Jennings
2022-Jan,Review Article,Diffuse vertebral marrow changes at MRI: Multiple myeloma or normal?,"B. C. Vande Berg,T. Kirchgesner,F. E. Lecouvet",B. C. Vande Berg,F. E. Lecouvet
2022-Jan,Review Article,Review of diffusion-weighted imaging and dynamic contrast–enhanced MRI for multiple myeloma and its precursors (monoclonal gammopathy of undetermined significance and smouldering myeloma),"Thomas Van Den Berghe,Koenraad L. Verstraete,Julie Dutoit",Thomas Van Den Berghe,Julie Dutoit
2022-Jan,Review Article,Oncologist perspective: role of imaging in myeloma,"Yael N. Shapiro,Elizabeth K. O’Donnell",Yael N. Shapiro,Elizabeth K. O’Donnell
2022-Jan,Review Article,Multiple myeloma: a review of atypical imaging features and other distinct plasma cell disorders that demonstrate similar imaging features,"Rupert O. Stanborough,Hillary W. Garner",Rupert O. Stanborough,Hillary W. Garner
2022-Jan,Scientific Article,Clinical evaluation of a phantom-based deep convolutional neural network for whole-body-low-dose and ultra-low-dose CT skeletal surveys,"Nathan Huber,Tara Anderson,Katrina N. Glazebrook",Nathan Huber,Katrina N. Glazebrook
2022-Jan,Scientific Article,Ultra-low-dose cone-beam CT compared to standard dose in the assessment for acute fractures,"M. C. Murphy,B. Gibney,P. J. Mac,Mahon",M. C. Murphy,Mahon
2022-Jan,Scientific Article,Assessing the impact of adding bupivacaine on immediate and delayed post-procedure pain scores in interlaminar epidural steroid injections,"Cody R. Quirk,Anthony Onofrio,Nicholas C. Nacey",Cody R. Quirk,Nicholas C. Nacey
2022-Jan,Scientific Article,Reporting errors in plain radiographs for lower limb trauma—a systematic review and meta-analysis,"Thomas York,Christopher Franklin,Darren Leong",Thomas York,Darren Leong
2022-Jan,Scientific Article,The popliteofibular ligament: a cadaveric ultrasound study,"Przemysław A. Pękala,Ewa Mizia,Marcin Domżalski",Przemysław A. Pękala,Marcin Domżalski
2022-Jan,Scientific Article,Osteochondritis dissecans of the talar dome in patients with tarsal coalition,"Karen Y. Cheng,Praman Fuangfa,Edward Smitaman",Karen Y. Cheng,Edward Smitaman
2022-Jan,Test Yourself: Question,Test yourself question: a 19-year-old male presents with progressive distal lower limb pain,"Ramanan Rajakulasingam,Miriam Ficial,Asif Saifuddin",Ramanan Rajakulasingam,Asif Saifuddin
2022-Jan,Test Yourself: Question,Enlarging knee masses,"Hatem Mawi,Denis Gravel,Zaid Jibri",Hatem Mawi,Zaid Jibri
2022-Jan,Case Report,"A unique case of adamantinoma-like Ewing sarcoma in the calcaneus, exhibiting prominent squamous differentiation and displaying EWSR1 gene rearrangement","Bharat Rekhi,Rushabh Kothari,Mandip C. Shah",Bharat Rekhi,Mandip C. Shah
2022-Jan,Case Report,Post-arthrogram synovitis: MRI and histopathologic findings,"Alexander Oserowsky,Lester J. Layfield,Julia Crim",Alexander Oserowsky,Julia Crim
2022-Jan,Test Yourself: Answer,Answer To Test Yourself Question: A 19-year-old male presents with progressive distal lower limb pain,"R. Ramanan Rajakulasingam,Miriam Ficial,Asif Saifuddin",R. Ramanan Rajakulasingam,Asif Saifuddin
2022-Jan,Test Yourself: Answer,Enlarging knee masses,"Hatem Mawi,Denis Gravel,Zaid Jibri",Hatem Mawi,Zaid Jibri
2022-Jan,Correction,Correction to: MRI features of ERSA (exercise‑related signal abnormality) lesions in professional soccer players,"James S. B. Kho,Rajesh Botchu,Steven L. James",James S. B. Kho,Steven L. James
