Date,Article Class,Article Titles,List of Article Author Names
2020-May,Review Article,Magnetic resonance imaging of the meniscal roots,Ban SharifTanweer AshrafAsif Saifuddin
2020-May,Review Article,"MRI appearance of the different meniscal ramp lesion types, with clinical and arthroscopic correlation",Dylan N. GreifMichael G. BaragaJean Jose
2020-May,Scientific Article,Bipartite medial cuneiform: magnetic resonance imaging findings and prevalence of this rare anatomical variant,Aline SerfatyAline PessoaEdson Marchiori
2020-May,Scientific Article,"Correlation between the accessory anterolateral talar facet, bone marrow edema, and tarsal coalitions",Josephina A. VossenMashya AbbassiKevin B Hoover
2020-May,Scientific Article,Dual-energy CT in the differentiation of crystal depositions of the wrist: does it have added value?,Katharina ZiegelerSandra HermannTorsten Diekhoff
2020-May,Scientific Article,Sonographically guided botulinum toxin injections in patients with neurogenic thoracic outlet syndrome: correlation with surgical outcomes,Dean M. DonahueIvan R. B. GodoyMartin Torriani
2020-May,Scientific Article,Evaluation of ulnar variance on wrist MR imaging: is it a reliable measure?,Aline SerfatyHugo Pereira CostaMarcelo Bordalo-Rodrigues
2020-May,Scientific Article,Supraspinatus muscle shear wave elastography (SWE): detection of biomechanical differences with varying tendon quality prior to gray-scale morphologic changes,Dana J. LinChristopher J. BurkeRonald S. Adler
2020-May,Scientific Article,The horizontal calcaneofibular ligament: a sign of hindfoot valgus on ankle MRI,Sangoh LeeInes OliveiraAsif Saifuddin
2020-May,Scientific Article,Tears in the distal superficial medial collateral ligament: the wave sign and other associated MRI findings,Robert D. BoutinRussell C. FritzLawrence Yao
2020-May,Scientific Article,Perfusion in bone marrow lesions assessed on DCE-MRI and its association with pain in knee osteoarthritis: a cross-sectional study,Cecilie L DaugaardRobert GC RiisMikael Boesen
2020-May,Scientific Article,Single-source dual-energy computed tomography for the detection of bone marrow lesions: impact of iterative reconstruction and algorithms,N. EngelhardK. G. HermannT. Diekhoff
2020-May,Scientific Article,Spinopelvic parameters in greater trochanteric pain syndrome: a retrospective case-control study,Robin CanettiBenoit de Saint VincentMathieu Thaunat
2020-May,Scientific Article,Inter- and intra-reader reproducibility of shear wave elastography measurements for musculoskeletal soft tissue masses,Jonathan NichollsAbdulrahman M. AlfuraihPhilip Robinson
2020-May,Scientific Article,Effects of intra-articular corticosteroid injections on lumbar trabecular density,Jonathon FloranceRobert HemkeMiriam A. Bredella
2020-May,Scientific Article,Intra-articular steroid for adhesive capsulitis: does hydrodilatation give any additional benefit? A randomized control trial,Samir M. ParuthikunnanPraveen N. ShastryLakshmikanth Halegubbi Karegowda
2020-May,Test Yourself: Question,Chronic low back pain,Rania ZeitounPetra BaloghAsif Saifuddin
2020-May,Case Report,MRN findings of lateral antebrachial cutaneous nerve impingement in a collegiate athlete,My-Linh NguyenJeffrey RosenthalAdam D. Singer
2020-May,Case Report,Angiosarcoma arising in massive localized lymphedema,Samantha DyroffLester J. LayfieldJulia Crim
2020-May,Test Yourself: Answer,Chronic low back pain,Rania ZeitounPetra BaloghAsif Saifuddin
2020-May,Browser's Notes,Browser’s Notes,
